corrupt;yozlaşmış
implosive;implosive
imply;ima etmek
impolicy;tedbirsizlik
impolite;kaba
impolitic;politik olmayan
imponderable;ölçülemez
import certificate;ithalat belgesi
import commerce;ithalat ticaret
import credit;ithalat kredisi
import duty;ithalat vergisi
import handicap;ithalat handikap
import licence;ithalat lisansı
import permit;ithalat izni
import quota;Ithalat kotası
import reduction;ithalat azalması
import regime;ithalat rejimi
import restrictions;ithalat kısıtlamaları
import;ithalat
importable;ithal edilebilir
importance;önem
important;önemli
importation;ithalat
imported article;ithal makale
importer;ithalatçı
imports and exports;ithalat ve ihracat
importunate;sırnaşık
importunately;importunately
importune;ısrarla istemek
importunity;sırnaşıklık
impose a tax;bir vergi
impose law and order;kanun ve düzeni empoze
impose on;empoze
impose tax;vergi
impose;yüklemek
imposing;heybetli
imposition of taxes;vergiler konulması
imposition;dayatma
impossibility;imkânsızlık
impossible;imkansız
impost;yükümlülük
imposter;taklitçi
impostor;dolandırıcı
imposture;sahte tavır
impotence;iktidarsızlık
impotency;iktidarsızlık
impotent;iktidarsız
impound;haczetmek
impoverish;zayıflatmak
impoverishment;fakirleşme
impracticability;uygulanamazlık
impracticable;uygulanamaz
impractical;kullanışsız
imprecate;beddua
imprecation;beddua
impregnable;zaptedilemez
impregnate;hamile
impregnating agent;emprenye maddesi
impregnation;emdirme
impresario;impresaryo
imprescriptible;zaman aşımına uğramayan
impress;etkilemek
impression;izlenim
impressionable;kolay etkilenen
impressionism;izlenimcilik
impressionist;izlenimci
impressive;etkileyici
impressiveness;etkileyicilik
imprest account;avans hesabı
imprest fund;avans fonu
imprest;avans
imprint;damga
imprison;hapsetmek
imprisonment;hapis cezası
improbability;ihtimalsizlik
improbable;olanakdışı
improbity;haysiyetsizlik
impromptu;doğaçlama
improper;uygunsuz
improperly;YANLIŞ
impropriety;uygunsuzluk
improvable;geliştirilebilir
improve;iyileştirmek
improvement cutting;ayıklama kesimi
improvement;gelişme iyilesme duzelme ilerleme
improver;düzeltici
improvidence;tedbirsizlik
improvident;sağgörüsüz
improving;geliştirme
improvisation;doğaçlama
improvise;uydurmak
imprudence;tedbirsizlik
imprudent;tedbirsiz
impudence;yüzsüzlük
impudent;küstah
impudicity;impudicity
impugn;yalanlamak
impugnable;inkâr edilebilir
impugnment;yalanlama
impuissance;impuissance
impuissant;impuissant
impulse buying;dürtü satın alma
impulse test;darbe testi
impulse;dürtü
impulsion;dürtü
impulsive;itici
impulsively;dürtüyle
impulsiveness;düşüncesizlik
impunity;cezasız kalma
impure;saf olmayan
impurity;kirlilik
imputable;yüklenebilir
imputation;töhmet
imputative;üstüne atılan
impute;atfetmek
imputed cost;emsal maliyet
in a brace of shakes;sallar Bir gergi içinde
in a breeze;Bir esintiyle
in a crowd;Kalabalıkta
in a daze;şaşkınlık içinde
in a dead heat;kızışmış
in a fit of pique;pike nöbeti
in a huff;darılmak
in a jiffy;bir anda
in a mad rush;bir koşuşturma içinde
in a pickle;turşu içinde
in a pinch;bir tutam
in a sense;Bir anlamda
in a tight corner;köşeye sıkışmış
in a tight spot;sıkı bir noktada
in a trice;bir çırpıda
in a way;bir bakıma
in a word;Bir kelimeyle
in abeyance;askıda
in absentia;gıyaben
in accordance with;uyarınca
in actual fact;gerçek şu ki
in addition to;ek olarak
in addition;ek olarak
in advance;önceden
in all probability;bütün olasılıklar dahilinde
in all;tümünde
in alphabetical order;Alfabetik sırayla
in any case;her durumda
in any wise;herhangi bir şekilde
in apple-pie order;Elmalı turta düzeni
in arrears;gecikmiş
in black and white;siyah ve beyaz içinde
in blossom;çiçek açmış
in bond;bağda
in brief;kısaca
in broad daylight;güpegündüz
in bulk;dökme
in camera;kamerada
in care of;eliyle, nezaretinde, bakımında
in case of;durumunda
in case;bu durumda
in cash;nakit
in chains;zincirlenmiş
in charge of;sorumluluğunda
in charge;sorumlu
in clover;refah içinde
in cold blood;Soğuk kanlılıkla
in common parlance;konuşma dilinde
in common;ortak
in concert;Konserde
in conclusion;sonuç olarak
in confidence;güvenle
in conjunction with;ile birlikte
in connection with;bağlantılı olarak
in danger;tehlikede
in deep water;Derin suda
in demand;aranılan
in depth;derinlemesine
in detail;detayda
in due course;Vaktinden
in earnest;ciddi olarak
in effect;etkisinde
in evidence;Kanıt dahilinde
in excess of;aşan
in fact;aslında
in fashion;moda
in favor of;lehinde
in favour of;lehinde
in for a penny;Bir kuruş için de
in for;için de
in force;yürürlükte
in front of;önünde
in front;önünde
in full swing;bütün hızıyla
in full;dolu
in fun;eğlenceli
in gear;viteste
in general;Genel olarak
in good season;İyi sezonunda
in good time;tam zamanında
in health;Sağlıkta
in hiding;saklanarak
in high spirits;keyifle
in his sleep;uykusunda
in honour of;şerefine
in its true colours;gerçek renklerde
in itself;kendi içinde
in jest;şakacıktan
in keeping;keeping
in kind;ayni
in leaf;yaprakta
in legal parlance;hukuk dilinde
in lieu;yerine
in line for;için sırada
in line with;uygun olarak
in lots;sürü
in low spirits;Düşük ruhlara
in memory of;anısına
in mint condition;yepyeni
in moderation;aşırıya kaçmadan
in my humble opinion;Benim düşünceme göre
in my opinion;bana göre
in no time;zaman kaybetmeden
in no uncertain terms;hiçbir belirsiz açısından
in no wise;katiyen
in nothing flat;şimşek gibi
in on;üzerinde
in one piece;bir parça halinde
in one word;tek kelimede
in one's cups;Kişinin bardak
in one's element;Kişinin elemanda
in one's own good time;ne zaman canı isterse
in one's right mind;akıl sağlığı yerinde
in one's tracks;Kişinin parçalardaki
in order that;amacıyla
in order to;amacıyla
in order;sırayla
in other words;Diğer bir deyişle
in pairs;çift ​​halde
in part;kısmen
in particular;özellikle
in pawn;rehinde
in person;şahsen
in place of;yerine
in place;yerinde
in plain words;açıkçası
in poor spirits;fakir ruhlara
in press;Basında
in print;yazıcıda
in private;özel
in progress;devam etmekte
in proportion to;oranla
in proportion;orantılı olarak
in protest;Protestoda
in public;alenen
in pursuit of;peşinde
in queer street;parasız kalmak
in question;söz konusu olan
in reality;gerçekte
in reference to;referans olarak
in regard to;konusunda
in reply to;cevaben
in reply;cevapta
in repose;hareketsiz
in respect of;ilgili olarak
in retaliation;misilleme olarak
in retrospect;geçmişe bakıldığında
in return for;karşılığında
in round figures;yuvarlak rakamlar
in ruins;kalıntıları
in running order;çalışan sırada
in sb's good books;sb en iyi kitaplarında
in sb's shoes;sb ayakkabıları
in search of;peşinde
in season;sezonunda
in secret;gizlice
in series;seri olarak
in short order;özetle
in short;Kısacası
in sight;Içgörü
in situ combustion;yerinde yakma
in situ;in situ
in so far as;bugüne kadar içinde
in some neck of the woods;ormanda bazı boyun
in some ways;bazı açılardan
in spite of;rağmen
in stock;Stokta var
in succession;birbiri ardına
in sum;toplamda
in tandem;tandem içinde
in terms of;açısından
in the absence of;yokluğunda
in the background;arka planda
in the bag;çantada
in the clear;açık olarak
in the clutches of;pençesine
in the dark;karanlıkta
in the distance;uzakta
in the doghouse;köpek kulübesinde
in the doldrums;durgun
in the drak;drak içinde
in the end;Sonunda
in the event of;durumunda
in the extreme;aşırı derecede
in the eyes of;gözünde
in the first place;ilk etapta
in the gross;brüt içinde
in the heat of the moment;Anın sıcaklığında
in the lap of the gods;tanrıların kucağında
in the last resort;Son çare
in the light of;ışığında
in the long run;uzun vadede
in the main;esasta
in the matter of;konusunda
in the meantime;bu arada
in the middle of;ortasında
in the morning;sabahleyin
in the name of;adına
in the nick of time;son anda
in the nude;çıplak olarak
in the offing;eli kulağında
in the open air;açık havada
in the pay of;para alan
in the pink of condition;durumun pembe
in the presence of sb;sb varlığında
in the presence;huzurunda
in the prime of life;yaşam baharında
in the red;kırmızıda
in the region of;bölgesinde
in the running;koşu
in the same boat;aynı botta
in the soup;çorba
in the throes of;sancısı
in the twinkling of an eye;kaşla göz arasında
in the world;dünyada
in the wrong;YANLIŞ
in theory;teoride
in this case;bu durumda
in this connection;Bu bağlamda
in this instance;bu durumda
in three months;üç ay içinde
in time;zamanında
in touch with;ile irtibat halinde olma
in tow;yedekte
in transit;transit olarak
in truth;gerçekte
in tune;uyum halinde
in turn;sırayla
in turns;Dönüşlerde
in two shakes of a lamb's tail;kuzu kuyruğunu iki kere titretene
in two;ikiye
in unison with;uyum içinde
in unison;hep birlikte
in use;kullanımda
in vain;boşuna
in view of;görünümünde
in;içinde
in-laws;eşinin
in-line processing;in-line işlemler
in-plant system;tesis-sistemi
in-plant;fabrika içi
in-service training;hizmet içi eğitim
in-service;serviste
inability;yetersizlik
inaccessibility;erişilmezlik
inaccessible;erişilemez
inaccuracy;yanlışlık
inaccurate;YANLIŞ
inaction;hareketsizlik
inactivate;inaktive
inactive account;pasif hesap
inactive capital;inaktif sermaye
inactive market;inaktif pazar
inactive;etkisiz
inactivity;hareketsizlik
inadaptability;uygun olmama
inadequacy;yetersizlik
inadequate;yetersiz
inadmissibility;uygun görülmeme
inadmissible;kabul edilemez
inadvertence;dikkatsizlik
inadvertency;dikkatsizlik
inadvertent;yanlışlıkla yapılan
inadvertently;yanlışlıkla
inadvisable;tavsiye edilemez
inalienable;devredilemez
inamorata;aşık olunan kadın
inane;anlamsız
inanimate;cansız
inanimation;sıkıcılık
inanition;zafiyet
inanity;anlamsızlık
inapplicable;uygulanamaz
inapposite;yersiz
inappreciable;takdir edilemez
inappropriate;uygunsuz
inappropriateness;uygunsuzluğu
inapt;yeteneksiz
inaptness;inaptness
inarticulate;anlaşılmaz
inartistic;sanat değeri olmayan
inasmuch as;kadar
inattention;dikkatsizlik
inattentive;dikkatsiz
inaudibility;duyulamama
inaudible;duyulamaz
inaugurate;açılış yapmak
inauguration;açılış
inauspicious;şanssız
inauspiciousness;tâlihsizlik
inboard;gemi içi
inborn;doğuştan
inbred;doğuştan
inbreeding;aynı soydan çiftleştirme
incalculability;hesaplanamazlık
incalculable;hesaplanamaz
incandescence;akkorluk
incandescent bulb;akkor ampul
incandescent lamp;akkor lamba
incandescent light;akkor ışık
incandescent;akkor
incantation;büyü
incapability;yetersizlik
incapable;aciz
incapacitate;alıkoymak
incapacitated;aciz bırakılmış
incapacity;yetersizlik
incarcerate;hapsetmek
incarceration;hapsetme
incarnadine;incarnadine
incarnate;cisimlenmiş
incarnation;vücut bulma
incautious;tedbirsiz
incautiously;dikkatsizce
incendiary bomb;yangın bombası
incendiary;tahrik edici
incense;tütsü
incensory;buhurdan
incenter;merkezinde
incentive bonus;teşvik primi
incentive pay;teşvik primi
incentive premium;teşvik primi
incentive premiums;teşvik primi
incentive wage system;Teşvik ücret sistemi
incentive;özendirici
inception;başlangıç
inceptive;başlama
incertain;incertain
incertitude;kararsızlık
incessant;aralıksız
incessantly;sürekli olarak
incest;ensest
inch along;boyunca inç
inch by inch;inç inç
inch;inç
inchoate;gelişmemiş
incidence;oran
incident light;Gelen ışık
incident ray;gelen ışın
incident;olay
incidental income;arızi gelir
incidental;tesadüfi
incidentally;tesadüfen
incinerate;yakmak
incineration;yakma
incinerator;yakma fırını
incipiency;başlangıç
incipient;yeni başlayan
incise;deşmek
incision;kesik
incisive;zekice
incisiveness;zekilik
incisor;kesici diş
incitation;tahrik
incite;kışkırtmak
incitement;teşvik
incivility;nezaketsizlik
inclemency;soğukluk
inclement;sert
inclinable;meyilli
inclination angle;eğim açısı
inclination;eğim
incline;eğim
inclined plane;eğik düzlem
inclined roof;eğimli çatı
inclined;eğimli
inclinometer;meyil ölçeği
inclose;çevrelemek
include;Dahil etmek
included;dahil
including;dahil olmak üzere
inclusion;içerme
inclusive of tariff;tarifenin dahil
inclusive of tax;vergi dahil
inclusive price;masraflar dahil fiyat
inclusive;dahil
inclusiveness;kapsayıcılık
incognito;tebdili kıyafet
incognizant of;arasında tanımayan
incoherence;tutarsızlık
incoherency;bağdaşmazlık
incoherent light;tutarsız ışık
incoherent;tutarsız
incohesive;incohesive
incombustibility;yanmazlık
incombustible;yanmaz
income account;gelir hesabı
income and expenditure account;Gelir ve gider hesabı
income bond;gelir bağ
income bracket;gelir dağılımı
income distribution;Gelir dağılımı
income effect;gelir etkisi
income group;gelir grubu
income in kind;ayni gelir
income of exercise;egzersizin gelir
income profit;gelir kar
income statement;gelir tablosu
income tax;gelir vergisi
income;Gelir
incomer;göçmen
incoming goods;gelen mallar
incoming;gelen
incommensurable;ölçülemez
incommensurate;oransız
incommode;zahmet vermek
incommodious;zahmetli
incommunicable;anlatılamaz
incommunicado;kimseyle görüştürülmeyen tutuklu
incommunicative;ketum
incomparable;eşsiz
incompatibility;uyumsuzluğu
incompatible;uyumsuz
incompetence;beceriksizlik
incompetency;yetersizlik
incompetent;beceriksiz
incomplete program;eksik programı
incomplete;tamamlanmamış
incompleteness;eksiklik
incomprehensibility;anlaşılmazlık
incomprehensible;anlaşılmaz
incomprehension;anlayamama
incompressibility;sıkıştırılamazlık
incompressible;sıkıştırılamaz
incomputable;hesap edilemez
inconceivable;akıl almaz
inconclusive;sonuçsuz
inconclusiveness;inconclusiveness
incondensable;yoğunlaştırılamaz
incondite;incelikten yoksun
incongruity;uyuşmazlık
incongruous;yersiz
inconnector;inconnector
inconsequence;mantıksızlık
inconsequent;alâkasız
inconsequential;önemsiz
inconsiderable;önemsiz
inconsiderate;düşüncesiz
inconsiderateness;düşüncesizlik
inconsistency;tutarsızlık
inconsistent;tutarsız
inconsolable;avutulamaz
inconsonance;uyumsuzluk
inconsonant;ahenksiz
inconspicuous;göze çarpmayan
inconstancy;döneklik
inconstant;gelgeç
inconsumable;tüketilemez
incontestable;tartışmasız
incontinence;inkontinans
incontinency;inkontinans
incontinent;idrarını tutamayan
incontinently;duramayıp
incontrovertible;su götürmez
inconvenience;rahatsızlık
inconvenient;uygunsuz
inconvertibility;konvertibl dövizin
inconvertible;bozulamaz
incorporate;birleştirmek
incorporated bank;dahil banka
incorporated company;Anonim şirket
incorporated;Anonim
incorporation;birleşme
incorporator;kurucu
incorporeal;manevi
incorrect;YANLIŞ
incorrigibility;incorrigibility
incorrigible;uslanmaz
incorrodible;incorrodible
incorruptibility;dürüstlük
incorruptible;dürüst
incorruption;bozulmama
increase in length;uzayacak
increase in size;boyutu büyümek
increase in volume;hacminde artış
increase in wages;ücret artışı
increase of capital;sermayenin artışı
increase of value;değer artışı
increase;artırmak
increased productivity;artan verimlilik
increased;artmış
increasing costs;maliyetleri artan
increasing;artan
increasingly;giderek
incredibility;inanılmazlık
incredible;inanılmaz
incredibly;inanılmaz
incredulity;kuşkuculuk
incredulous;inanmaz
increment value tax;artış değeri vergi
increment value;artış değeri
increment;artım
incremental;artımlı
incriminate;suçlamak
incriminating;suçlayıcı
incrimination;suçlama
incrust;kaplanmak
incrustation;kabuklanma
incubate;tasarlamak
incubating egg;kuluçka yumurta
incubation period;kuluçka dönemi
incubation;inkübasyon
incubator;kuluçka makinesi
incubus;kâbus
inculcate;telkin etmek
inculcation;telkin
inculpate;suç yüklemek
incumbent;görevdeki
incunabula;inkanübelleri
incur debts;borca ​​girmek
incur expenses;gidere
incur liabilities;borçlanmak
incur loses;Krediye Dönüşüm kaybeder
incur;uğramak
incurability;tedavi edilemezlik
incurable;çaresiz
incurious;meraksız
incursion;akın
incurve;eğmek
incus;örs kemiği
indamine;indamine
indebted;borçlu
indebtedness;borçluluk
indecency;ahlaksızlık
indecent assault;uygunsuz saldırı
indecent;uygunsuz
indeciduous;indeciduous
indecipherable;çözülemez
indecision;kararsızlık
indecisive;kararsız
indecisiveness;kararsızlık
indeclinable;çekimsiz
indecorous;uygunsuz
indeed;aslında
indefatigability;yorulmak bilmezcesine
indefatigable;yorulmak bilmez
indefeasible;feshedilemez
indefectible;bozulmaz
indefensible;savunulamaz
indefinable;Tarifsiz
indefinite adjective;belirsiz sıfat
indefinite article;belirsiz makale
indefinite leave;belirsiz izni
indefinite pronoun;belirsiz zamir
indefinite;belirsiz
indefiniteness;belirsizlik
indehiscent;indehiscent
indelibility;indelibility
indelible pencil;kopya kalemi
indelible;silinmez
indelicacy;nezaketsizlik
indelicate;kaba
indemnification;tazminat
indemnify;tazmin
indemnity;tazminat
indene;inden
indent;çentik
indentation;girinti
indented;senetli
indenter;çentikleyici
indenture;senet
independence;bağımsızlık
independent accountant;serbest muhasebeci
independent audit;bağımsız denetim
independent clause;bağımsız fıkra
independent deputy;bağımsız milletvekili
independent events;bağımsız olaylar
independent variable;bağımsız değişken
independent;bağımsız
indescribable;tarifsiz
indestructibility;yıkılmazlık
indestructible;yok edilemez
indeterminable;karara bağlanamayan
indeterminate;belirsiz
indeterminateness;indeterminateness
indetermination;irade yitimi
index error;indeks hatası
index file;dizin dosyası
index finger;işaret parmağı
index linked bond;endeks bağlantılı tahvil
index of refraction;kırılma indeksi
index;indeks
indexation;endeksleme
indexed pension;endeksli emeklilik
indexed;endeksli
indexing language;indeksleme dili
indexing;indeksleme
indian corn;Hint mısırı
indican;indikan'ın
indicate;belirtmek
indicated horsepower;belirtilen beygir
indicating device;gösterge cihazı
indicating lamp;gösterge lambası
indication;belirti
indicative abstract;soyut gösterge
indicative mood;gösterge ruh hali
indicative;belirten
indicator chart;gösterge tablosu
indicator tube;tube
indicator;gösterge
indices;endeksleri
indict;suçlamak
indictable;suçlanabilir
indictment;iddianame
indifference;kayıtsızlık
indifferent;kayıtsız
indigence;yoksullluk
indigenous;yerli
indigent;yoksul
indigested;düşünülmemiş
indigestibility;indigestibility
indigestible;sindirimi güç
indigestion;hazımsızlık
indignant;öfkeli
indignation;öfke
indignity;rezalet
indigo blue;çivit mavisi
indigo printing;indigo baskı
indigo white;indigo beyaz
indigo;çivit
indigoid;indigoid
indigotin;Đndigotin
indirect address;dolaylı adres
indirect control;dolaylı kontrolü
indirect labour;endirekt işçilik
indirect lighting;dolaylı aydınlatma
indirect method;dolaylı yöntem
indirect mortgage loan;dolaylı konut kredisi
indirect object;dolaylı nesne
indirect speech;dolaylı anlatım
indirect tax;dolaylı vergi
indirect wave;dolaylı dalga
indirect;dolaylı
indirectness;dolaylılık
indiscernible;ayırt edilemez
indiscipline;disiplinsizlik
indiscreet;boşboğaz
indiscrete;bölünmemiş
indiscretion;düşüncesizlik
indiscriminate;gelişigüzel
indiscriminately;gelişigüzel
indiscrimination;ayırt edememe
indispensable;kaçınılmaz
indispose;elverişsizleştirmek
indisposed;isteksiz
indisposition;isteksizlik
indisputable;tartışmasız
indissolubility;ayrılmazlık
indissoluble;erimez
indistinct;belirsiz
indistinctive;ayırt edilemez
indistinctness;belirsizlik
indistinguishable;ayırt edilemez
indium;indiyum
individual enterprise;bireysel girişim
individual estate;bireysel emlak
individual proprietor;bireysel sahibi
individual;bireysel
individualism;bireycilik
individualist;bireyci
individuality;şahsiyet
individualize;ferdileştirmek
individually;bireysel
indivisibility;bölünmezlik
indivisible;bölünmez
indocile;inatçı
indoctrinate;beynini yikamak
indoctrination;doktrinleştirme
indole;indol
indolence;tembellik
indolent;tembel
indomitable;yılmaz
indoor antenna;kapalı anten
indoor;kapalı
indoors;içeriye
indophenol;indophenol
indoxyl;indoksil
indraft;içeriye çekme
indraught;içeriye çekme
indubitable;kesin
induce;uyarmak
induced current;indüklenen akım
inducement;teşvik
induct;başlatmak
inductance coil;endüktans bobini
inductance;indüktans
induction accelerator;indüksiyon hızlandırıcı
induction coil;indüksiyon bobini
induction current;indüksiyon akımı
induction machine;indüksiyon makinesi
induction motor;endüksiyon motoru
induction pipe;giriş borusu
induction;indüksiyon
inductive circuit;endüktif devre
inductive load;endüktif yük
inductive;tümevarımsal
inductor;indüktör
indulge;şımartmak
indulgence;düşkünlük
indulgent;anlayışlı
induline;induline
indurate;duygusuzlaştırmak
induration;sertleşme
indusium;indusium
industrial accident;Endüstriyel kaza
industrial alcohol;endüstriyel alkol
industrial bank;sanayi bankası
industrial centre;sanayi merkezi
industrial chemistry;endüstriyel kimya
industrial court;sanayi mahkemesi
industrial district;Sanayi Bölgesi
industrial engineer;Endüstri Mühendisi
industrial engineering;Endüstri Mühendisliği
industrial enterprise;sanayi kuruluşu
industrial estate;Sanayi Bölgesi
industrial exhibition;endüstriyel sergi
industrial fuel;endüstriyel yakıt
industrial property;sınai mülkiyet
industrial revolution;Sanayi devrimi
industrial safety;Endüstriyel güvenlik
industrial services;endüstriyel hizmetler
industrial spying;endüstriyel casusluk
industrial waste water;endüstriyel atık su
industrial waste;endüstriyel atık
industrial;Sanayi
industrialist;sanayici
industrialization;sanayileşme
industrialize;sanayileştirmek
industrious;çalışkan
industry;sanayi
indwell;nüfuz etmek
inebriate;mest
inebriated;sarhoş
inebriation;sarhoşluk
inebriety;sarhoşluk
inedibility;yenmezlik
inedible;yenmez
inedited;basılmamış
ineffable;tarifsiz
ineffaceable;silinemez
ineffective;etkisiz
ineffectively;etkisiz
ineffectiveness;etkisizlik
ineffectual;etkisiz
inefficiency;verimsizlik
inefficient;yetersiz
inelastic;elastik olmayan
inelasticity;esnememe
inelegance;terbiyesizlik
inelegant;incelikten yoksun
inelegantly;inelegantly
ineligibility;uygun olmamasıyla
ineligible;uygunsuz
ineluctable;kaçınılmaz
inept;beceriksiz
ineptitude;beceriksizlik
ineptness;beceriksizlik
inequal;esitsiz
inequality;eşitsizlik
inequitable;adaletsiz
inequity;insafsızlık
ineradicable;sökülemez
inerasable;silinmez
inerrable;yanılmaz
inerrancy;yanılmazlık
inert gas;atıl gaz
inert metal;bir inert metal
inert;atıl
inertia;süredurum
inertness;hareketsizlik
inescapable;kaçınılamaz
inessential;gereksiz
inessive;inessive
inestimable;paha biçilmez
inevitability;kaçınılmazlık
inevitable;kaçınılmaz
inexact;hatalı
inexactness;yanlışlık
inexcusable;affedilmez
inexhaustible;tükenmez
inexorability;amansızlık
inexorable;amansız
inexpediency;gereksizlik
inexpedient;yersiz
inexpensive;ucuz
inexpensively;ucuz
inexperience;tecrübesizlik
inexperienced;deneyimsiz
inexpert;acemi
inexpiable;bastırılamaz
inexplicable;açıklanamaz
inexplicit;çapraşık
inexpressible;ifade edilemez
inexpressive;ifadesiz
inextenso;inextenso
inextricable;içinden çıkılmaz
infallibility;şaşmazlık
infallible;yanılmaz
infamous;rezil
infamy;rezillik
infancy;bebeklik
infant industry;doğan sanayi
infant;bebek
infanticide;bebek öldürme
infantile;çocukça
infantilism;çocukça
infantry officer;piyade subayı
infantry;piyade
infantryman;piyade
infatuate;çılgına çevirmek
infatuated;delicesine aşık
infatuation;vurulma
infect;bulaştırmak
infection;enfeksiyon
infectious;bulaşıcı
infelicitous;tâlihsiz
infelicity;tâlihsizlik
infer;anlamına gelmek
inference;sonuç
inferior;aşağı
inferiority complex;aşağılık kompleksi
inferiority;aşağılık
infernal machine;cehennemi makine
infernal;şeytani
infernally;infernally
inferno;cehennem
infertile;kısır
infertility;kısırlık
infest;kaplamak
infestation;istila
infidel;kâfir
infidelity;aldatma
infield;tarla
infighting;iç çatışma
infiltrate;sızmak
infiltration;sızma
infinite line;sonsuz çizgi
infinite set;sonsuz seti
infinite space;Belirsiz boşluk
infinite;sonsuz
infinitesimal;sonsuz küçük
infinitive phrase;mastar ifade
infinitive;mastar
infinitude;sonsuzluk
infinity;sonsuzluk
infirm;sakat
infirmary;revir
infirmity;kararsızlık
infix;telkin etmek
inflame;tutuşmak
inflamed;iltihaplanmış
inflammability;çabuk parlama
inflammable liquid;yanıcı sıvı
inflammable matter;yanıcı madde
inflammable;yanıcı
inflammation;iltihap
inflammatory;iltihaplı
inflatable;şişme
inflate;şişirmek
inflated;şişirilmiş
inflation rate;enflasyon oranı
inflation;enflasyon
inflationary gap;enflasyonist boşluk
inflationary period;enflasyon dönemi
inflationary;enflasyon
inflationist;enflasyonist
inflect;çekmek
inflection point;dönüm noktası
inflection;çekim
inflectional;çekim
inflexibility;kararlılık
inflexible;eğilmez
inflexibly;inatla
inflexion;kıvrılma
inflexional;çekime ait
inflict;vermek
infliction;eziyet
inflorescence;çiçeklenme
inflow of foreign currency;döviz girişi
inflow;giriş
influence;etki
influential;etkili
influenza;grip
influx;akın
info;bilgi
inform;bilgi vermek
informal education;yaygın eğitim
informal;resmi olmayan
informality;dışılık
informally;gayri
informant;muhbir
informatics;bilişim
information bits;bilgi bitleri
information channel;bilgi kanalı
information desk;Danışma
information network;bilgi ağı
information processing center;bilgi işlem merkezi
information security;bilgi Güvenliği
information service;bilgi Servisi
information system;bilgi sistemi
information;bilgi
informational;bilgilendirme
informative;bilgi verici
informed;bilgili
informer;muhbir
infra;alt
infrablack;infrablack
infraction;ihlal
infrared detection;kızılötesi algılama
infrared;kızılötesi
infrasonic;ses sınırı altı
infrastructural;altyapısal
infrastructure;altyapı
infrequency;nadirlik
infrequent;seyrek
infringe;ihlal
infringement;ihlal
infundibular;huni şeklinde
infuriate;kızdırmak
infuse;aşılamak
infusible;eritilmez
infusion pump;infüzyon pompası
infusion;demleme
infusorian;haşlamlılara ait
ing;ing
ingate;döküm deliği
ingathering;hasat toplama
ingeminate;tekrarlamak
ingenious;hünerli
ingenue;saf kız
ingenuity;marifet
ingenuous;içten
ingenuously;ustaca
ingenuousness;açık sözlülük
ingest;yemek
ingestion;yeme
inglorious;şerefsiz
ingoing;hava parası
ingot crane;külçe vinç
ingot;külçe
ingrain dyestuff;inkişaf boyası
ingrain;kökleştirmek
ingrained;kökleşmiş
ingrate;nankör
ingratiate oneself with sb;sb kendini sevdirmeye
ingratiate;sevdirmek
ingratitude;nankörlük
ingredient;bileşen
ingress;giriş
ingrown;batık
inguinal;kasık
ingurgitate;lüplemek
inhabit;yaşamak
inhabitable;yaşanabilir
inhabitancy;ikamet
inhabitant;oturan
inhabited place;meskun yer
inhalation;soluk alma
inhale;solumak
inhaler;soluk aldırma cihazı
inharmonious;ahenksiz
inhere;burada
inherent storage;doğasında depolama
inherent vice;doğal yardımcısı
inherent;doğal
inherit;miras almak
inheritable;kalıtsal
inheritance tax;veraset vergisi
inheritance;miras
inherited;miras
inheritor;mirasçı
inhibit;engellemek
inhibited;inhibe
inhibition;engelleme
inhibitive;engelleyici
inhibitor;önleyici
inhibitory;önleyici
inhospitable;konuk sevmez
inhuman;insanlık dışı
inhumane;insanlık dışı
inhumanity;insaniyetsizlik
inhume;defnetmek
inimical;zararlı
inimitable;taklit edilemez
iniquitous;adaletsiz
iniquity;kötülük
initial advertising;ilk reklam
initial approach;ilk yaklaşım
initial capital;başlangıç ​​sermayesi
initial condition;başlangıç ​​koşulu
initial expenses;ilk giderler
initial material;ilk materyal
initial orders;ilk sipariş
initial point;başlangıç ​​noktası olarak
initial position;ilk pozisyon
initial salary;ilk maaş
initial speed;Başlangıç ​​hızı
initial state;başlangıç ​​hali
initial value;başlangıç ​​değeri
initial velocity;başlangıç ​​hızı
initial;ilk
initialization;başlatma
initialize;başlatmak
initially;başlangıçta
initiate;başlatmak
initiation;başlatma
initiative;girişim
initiator;öncü
initiatory;başlatan
inject;enjekte etmek
injection cock;enjeksiyon horoz
injection engine;enjeksiyonlu motor
injection fuel;püskürtme yakıt
injection nozzle;enjeksiyon memesi
injection pump;enjeksiyon pompası
injection syringe;şırınga
injection;enjeksiyon
injector needle;enjektör iğnesi
injector;enjektör
injudicious;düşüncesiz
injun;kızılderili
injunction;emir
injure;yaralamak
injured;yaralı
injurious;zararlı
injury to person;kişiye yaralanması
injury to property;mülke yaralanması
injury;hasar
injustice;adaletsizlik
ink pad;ıstampa
ink;mürekkep
inkhorn;inkhorn
inkling;iz
inkwell;masaya gömülü hokka
inky;kapkara
inky-dinky;kapkara-cici
inlaid;kakma
inland bill;iç faturası
inland duty;iç görev
inland mail;iç posta
inland navigation;iç navigasyon
inland port;iç liman
inland produce;iç üretim
inland sea;iç deniz
inland tariff;iç tarife
inland waters;iç sular
inland waterways;iç suyolları
inland;iç
inlaws;inlaws
inlay;dolgu
inlet pipe;giriş borusu
inlet;giriş
inly;inly
inmate;tutuklu
inmost;çoğunlukla
inn;Han
